Date,Suffix,KM,Dplus,Top,People,Name,Type,Comment,id,EventLink,TrailShortLink,TrailFullLink,Trail1,Trail2,Album,HavePhoto
2020-08-29,,,,,12,"Rain 🌧️ Rain 🌧️ Go Away - Come Again Another Day",Party,,272872118,https://www.meetup.com/grenoble-adventure-club-english-french/events/272872118,,,,,2020-08-29-Rain-🌧️-Rain-🌧️-Go-Away-Come-Again-Another-Day.html,
2020-09-06,,,,,2,"🌟 Sunday GAC 🌟",Accro,,273050453,https://www.meetup.com/grenoble-adventure-club-english-french/events/273050453,,,,,,No
2020-09-13,,8.8,1064,2141,8,"Dré dan l'pentu / Straigth to the top -- 🥾+🏊",Hike,,273156020,https://www.meetup.com/grenoble-adventure-club-english-french/events/273156020,https://s.42l.fr/lX-HrbRh,,,,2020-09-13-Dre-dan-lpentu-Straigth-to-the-top-🥾🏊.html,
2020-09-13,laffrey,10,200,1050,12,"Around the Lac de Laffrey -- 🥾+🏊",Hike,,273156179,https://www.meetup.com/grenoble-adventure-club-english-french/events/273156179,https://s.42l.fr/OYlyM0Y9,,,,,No
2020-10-01,,9,500,640,18,"Harvest Moon (La pleine lune de moisson) Night Hike/Rando",Hike,,272937963,https://www.meetup.com/grenoble-adventure-club-english-french/events/272937963,https://frama.link/KGnwLpuQ,,,,2020-10-01-Harvest-Moon-La-pleine-lune-de-moisson-Night-Hike_Rando.html,
2020-10-11,,18.5,1350,2425,9,"🥾 Hike to 'Lacs du Domènon' 2400m 🌦️ (D+ 1350m 🤩)",Hike,,273744783,https://www.meetup.com/grenoble-adventure-club-english-french/events/273744783,https://frama.link/0MwaJb99,,,,2020-10-11-🥾-Hike-to-Lacs-du-Domenon-2400m-🌦️-D-1350m-🤩.html,
2020-10-24,,9.4,803,1901,32,"Saint-Nizier du Moucherotte and Three Virgins (Hike) + Mölkky",Hike,,272628657,https://www.meetup.com/grenoble-adventure-club-english-french/events/272628657,https://s.42l.fr/le-moucherotte,,,,2020-10-24-Saint-Nizier-du-Moucherotte-and-Three-Virgins-Hike-Molkky.html,
2020-11-29,,,,,6,"Carpe Diem! Make your own adventure",Cancelled,"Not a real event",274864502,https://www.meetup.com/grenoble-adventure-club-english-french/events/274864502,,,,,2020-11-29-Carpe-Diem-Make-your-own-adventure.html,
2020-12-19,,3.3,338,1320,10,"We are going, snowshoeing!🏔️",Hike,,275198024,https://www.meetup.com/grenoble-adventure-club-english-french/events/275198024,https://s.42l.fr/A9LrZ9hf,,,,"2020-12-19-We-are-going,-snowshoeing🏔️.html",
2020-12-25,,10.7,1039,1046,5,"Christmas Day 2020 “On The Rocks” 🥃 🏔",Hike,Rachais,275347843,https://www.meetup.com/grenoble-adventure-club-english-french/events/275347843,https://s.42l.fr/xE1yPtD0,,,,2020-12-25-Christmas-Day-2020-On-The-Rocks-🥃-🏔.html,
2020-12-27,,7.9,528,592,6,"Christmas 2020 Hike Vol. II (Rocher de l'Église)",Hike,"Belvedère du Scialet",275376831,https://www.meetup.com/grenoble-adventure-club-english-french/events/275376831,https://s.42l.fr/ZVHkQ4fk,,,,2020-12-27-Christmas-2020-Hike-Vol-II-Rocher-de-lEglise.html,
2021-01-09,,11.5,480,595,6,"🥾 Hike 🥾 - 🌳 ""Le chêne remarquable de Venon"" 🌳",Hike,,275607055,https://www.meetup.com/grenoble-adventure-club-english-french/events/275607055,https://frama.link/yD_bbRhw,,,,2021-01-09-🥾-Hike-🥾-🌳-Le-chene-remarquable-de-Venon-🌳.html,
2021-01-10,,15.4,969,823,5,"Weekend Hike: Sassenage Area, Chemin des Cuves, Suivez Le Furon, Mur de Satan",Hike,,275600643,https://www.meetup.com/grenoble-adventure-club-english-french/events/275600643,https://frama.link/Twod8TPZ,,,,"2021-01-10-Weekend-Hike-Sassenage-Area,-Chemin-des-Cuves,-Suivez-Le-Furon,-Mur-de-Satan.html",
2021-02-06,,7.4,300,1940,13,"snowtubing/sledging + snowshoeing + snowcializing + snowfunning = great memories",Hike,,275959229,https://www.meetup.com/grenoble-adventure-club-english-french/events/275959229,https://s.42l.fr/wA-rQRtZ,,,,2021-02-06-snowtubing-sledging-snowshoeing-snowcializing-snowfunning-=-great-memories.html,
2021-02-14,,7,524,635,16,"💗 Le Bastille by Another Way (via La Tronche) ❤️",Hike,,275008068,https://www.meetup.com/grenoble-adventure-club-english-french/events/275008068,https://s.42l.fr/TqWwBB03,,https://www.alltrails.com/explore/map/mon-18-jan-2021-07-22-14553ee,,2021-02-14-Le-Bastille-by-Another-Way-via-La-Tronche.html,
2021-02-21,,15.8,436,455,18,"🥾 Hike - 🏰 ""Bon Repos"" Castle",Hike,,276395387,https://www.meetup.com/grenoble-adventure-club-english-french/events/276395387,https://s.42l.fr/jmJvISz_,,,,2021-02-21-🥾-Hike-🏰-Bon-Repos-Castle.html,
2021-02-27,,12.8,567,576,7,"🥾 Hike - ""Herbeys et son plateau de Romage"" (Easy hike to enjoy sun 🌞)",Hike,,276581633,https://www.meetup.com/grenoble-adventure-club-english-french/events/276581633,https://s.42l.fr/MujeHgdT,,,,2021-02-27-🥾-Hike-Herbeys-et-son-plateau-de-Romage-Easy-hike-to-enjoy-sun-🌞.html,
2021-03-06,,9.92,391,512,14,"🥾 Hike - Le fort de Comboire (Easy hike to enjoy rain 🌧️🐌)",Hike,,276733284,https://www.meetup.com/grenoble-adventure-club-english-french/events/276733284,https://s.42l.fr/nS3gJIWm,,,,2021-03-06-🥾-Hike-Le-fort-de-Comboire-Easy-hike-to-enjoy-rain-🌧️🐌.html,
2021-03-13,,15.6,1362,1089,17,"🥾 Hike - ""L'Aiguille de Chalais"" 😍",Hike,,276803120,https://www.meetup.com/grenoble-adventure-club-english-french/events/276803120,https://s.42l.fr/I71ZHdYN,,,,2021-03-13-🥾-Hike-LAiguille-de-Chalais-😍.html,
2021-05-13,,11,1045,1046,12,"🥾 Hike - Back to the basics: Jalla and/or Rachais 😎",Hike,,278136992,https://www.meetup.com/grenoble-adventure-club-english-french/events/278136992,https://s.42l.fr/xE1yPtD0,,,,2021-05-13-🥾-Hike-Back-to-the-basics-Jalla-and-or-Rachais-😎.html,
2021-05-15,,14,850,1771,7,"🥾 Hike: Pinéa + Charmant Som 🗻",Hike,,278177608,https://www.meetup.com/grenoble-adventure-club-english-french/events/278177608,https://s.42l.fr/_mYJ72SH,,,,2021-05-15-🥾-Hike-Pinea-Charmant-Som-🗻.html,
2021-05-23,,14,890,1966,27,"🥾 Hike: Vertige des Cimes + Pic St-Michel 😱",Hike,,278286484,https://www.meetup.com/grenoble-adventure-club-english-french/events/278286484,https://s.42l.fr/y4m08nhq,,,,2021-05-23-🥾-Hike-Vertige-des-Cimes-Pic-St-Michel-😱.html,
2021-05-30,,16.5,700,1926,25,"🥾 Hike: Le Grand Rocher 🌲🌳",Hike,,278257641,https://www.meetup.com/grenoble-adventure-club-english-french/events/278257641,https://s.42l.fr/8zUZUf4i,,,,2021-05-30-🥾-Hike-Le-Grand-Rocher-🌲🌳.html,
2021-06-06,,16.6,660,1769,30,"🥾 Hike: Le Sénépy not so easy? 😅☔",Hike,,278590932,https://www.meetup.com/grenoble-adventure-club-english-french/events/278590932,https://s.42l.fr/NVg9oEHR,,,,2021-06-06-🥾-Hike-Le-Senepy-not-so-easy?-😅☔.html,
